My Account Log In
IP2Location LITE
Home
Free Databases
IP Addresses
Free Plugins
FAQs
Contact
Home United States IP Address Ranges
United States IP Address Ranges
United States has a total of 1,571,238,096 IP address assigned. Below are all IP address ranges in United States.

Data Sources:
i. You can download the complete free data in CSV format from IP2Location LITE DB1.
ii. You can also download the list in firewall format from IP2Location Firewall List.

Begin IP Address	End IP Address	Total Count
4.68.70.99	4.68.70.100	2
4.68.70.102	4.68.70.108	7
4.68.70.111	4.68.70.112	2
4.68.70.115	4.68.70.120	6
4.68.70.122	4.68.70.124	3
4.68.70.126	4.68.70.128	3
4.68.70.131	4.68.70.132	2
4.68.70.135	4.68.70.136	2
4.68.70.139	4.68.70.156	18
4.68.70.159	4.68.70.196	38
4.68.70.199	4.68.70.228	30
4.68.70.231	4.68.70.232	2
4.68.70.235	4.68.70.248	14
4.68.70.251	4.68.71.12	18
4.68.71.15	4.68.71.181	167
4.68.71.183	4.68.71.204	22
4.68.71.207	4.68.71.232	26
4.68.71.235	4.68.71.240	6
4.68.71.243	4.68.71.244	2
4.68.71.247	4.68.72.0	10
4.68.72.3	4.68.72.36	34
4.68.72.39	4.68.72.92	54
4.68.72.95	4.68.72.96	2
4.68.72.99	4.68.72.124	26
4.68.72.127	4.68.72.133	7
4.68.72.135	4.68.72.164	30
4.68.72.166	4.68.72.180	15
4.68.72.183	4.68.72.184	2
4.68.72.187	4.68.72.188	2
4.68.72.191	4.68.72.192	2
4.68.72.195	4.68.72.200	6
4.68.72.203	4.68.72.220	18
4.68.72.223	4.68.72.236	14
4.68.72.239	4.68.72.252	14
4.68.72.255	4.68.73.4	6
4.68.73.7	4.68.73.8	2
4.68.73.11	4.68.73.12	2
4.68.73.15	4.68.73.36	22
4.68.73.38	4.68.73.48	11
4.68.73.51	4.68.73.56	6
4.68.73.59	4.68.73.72	14
4.68.73.75	4.68.73.96	22
4.68.73.99	4.68.73.108	10
4.68.73.111	4.68.73.132	22
4.68.73.135	4.68.73.140	6
4.68.73.143	4.68.73.144	2
4.68.73.147	4.68.73.152	6
4.68.73.155	4.68.73.173	19
4.68.73.175	4.68.73.180	6
4.68.73.183	4.68.73.200	18
4.68.73.203	4.68.73.204	2
4.68.73.207	4.68.73.212	6
4.68.73.215	4.68.73.244	30
4.68.73.247	4.68.73.248	2
4.68.73.251	4.68.73.252	2
4.68.73.255	4.68.74.12	14
4.68.74.15	4.68.74.32	18
4.68.74.35	4.68.74.40	6
4.68.74.43	4.68.74.66	24
4.68.74.71	4.68.74.72	2
4.68.74.75	4.68.74.80	6
4.68.74.83	4.68.74.100	18
4.68.74.103	4.68.74.104	2
4.68.74.107	4.68.74.112	6
4.68.74.115	4.68.74.128	14
4.68.74.131	4.68.74.140	10
4.68.74.143	4.68.74.152	10
4.68.74.155	4.68.74.184	30
4.68.74.187	4.68.74.192	6
4.68.74.195	4.68.74.200	6
4.68.74.203	4.68.75.80	134
4.68.75.83	4.68.75.84	2
4.68.75.87	4.68.75.108	22
4.68.75.111	4.68.75.112	2
4.68.75.115	4.68.75.116	2
4.68.75.119	4.68.75.124	6
4.68.75.127	4.68.76.24	154
4.68.76.26	4.68.76.28	3
4.68.76.30	4.68.76.32	3
4.68.76.34	4.68.76.36	3
4.68.76.38	4.68.96.120	5,203
4.68.96.123	4.68.96.165	43
4.68.96.167	4.68.96.169	3
4.68.96.171	4.68.96.172	2
4.68.96.175	4.68.96.193	19
4.68.96.195	4.68.96.197	3
4.68.96.199	4.68.96.200	2
4.68.96.203	4.68.106.0	2,358
4.68.106.2	4.68.106.8	7
4.68.106.10	4.68.106.20	11
4.68.106.22	4.68.106.24	3
4.68.106.26	4.68.108.25	512
4.68.108.27	4.68.108.57	31
4.68.108.59	4.68.108.110	52
4.68.108.113	4.68.108.174	62
4.68.108.177	4.68.110.52	388
4.68.110.54	4.68.110.64	11
4.68.110.67	4.68.110.84	18
4.68.110.86	4.68.110.112	27
4.68.110.115	4.68.110.120	6
4.68.110.123	4.68.110.133	11
4.68.110.135	4.68.110.161	27
4.68.110.163	4.68.110.188	26
4.68.110.191	4.68.110.197	7
4.68.110.199	4.68.110.200	2
4.68.110.203	4.68.110.213	11
4.68.110.215	4.68.110.224	10
4.68.110.227	4.68.111.8	38
4.68.111.11	4.68.111.12	2
4.68.111.15	4.68.111.24	10
4.68.111.27	4.68.111.32	6
4.68.111.35	4.68.111.40	6
4.68.111.43	4.68.111.44	2
4.68.111.47	4.68.111.124	78
4.68.111.127	4.68.111.140	14
4.68.111.143	4.68.111.144	2
4.68.111.147	4.68.111.149	3
4.68.111.151	4.68.111.152	2
4.68.111.155	4.68.111.173	19
4.68.111.175	4.68.111.176	2
